Instruction ,Input ,Output ,Text 
Create a multiple choice question that queries following topic,Ethics and Privacy,"Data privacy is adhering to the principles of_____
a) Secrecy
b) Authentication
c) Confidentiality
d) Anonymity","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Ethics and Privacy ### Response: Data privacy is adhering to the principles of_____
a) Secrecy
b) Authentication
c) Confidentiality
d) Anonymity"
Create a multiple choice question that queries following topic,Information Security," Information security is defined as the preserving of ______ and ____ of computer hardware and software, electronic documents, and other information in electronic form.
a) Confidentiality, availability 
b) Integrity, availability 
c) Privacy, integrity 
d) Confidentiality, integrity","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Information Security ### Response:  Information security is defined as the preserving of ______ and ____ of computer hardware and software, electronic documents, and other information in electronic form.
a) Confidentiality, availability 
b) Integrity, availability 
c) Privacy, integrity 
d) Confidentiality, integrity"
Create a multiple choice question that queries following topic,Information Security,"Unintentional threats from a human factor can originate from_____.
a) malicious insiders
b) organizational personnel
c) vendors
d) hackers","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Information Security ### Response: Unintentional threats from a human factor can originate from_____.
a) malicious insiders
b) organizational personnel
c) vendors
d) hackers"
Create a multiple choice question that queries following topic,Information Security,"Most deliberate threats to information systems are done by _____.
a) Internal actors
b) attackers
c) malefactors
d) third parties","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Information Security ### Response: Most deliberate threats to information systems are done by _____.
a) Internal actors
b) attackers
c) malefactors
d) third parties"
Create a multiple choice question that queries following topic,Information Security,"Organizations are choosing to protect their information resources by using______.
a) firewalls
b) anti-malware
c) encryption
d) access control lists","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Information Security ### Response: Organizations are choosing to protect their information resources by using______.
a) firewalls
b) anti-malware
c) encryption
d) access control lists"
Create a multiple choice question that queries following topic,Information Security,"_____ include both operational and technical measures that are taken to protect a system from malicious attacks and ensure its availability.
a) Intrusion Detection Systems
b) Authentication Protocols
c) Encryption Technologies
d) Access Controls","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Information Security ### Response: _____ include both operational and technical measures that are taken to protect a system from malicious attacks and ensure its availability.
a) Intrusion Detection Systems
b) Authentication Protocols
c) Encryption Technologies
d) Access Controls"
Create a multiple choice question that queries following topic,Data and Knowledge Management," Companies need to __ data in order to use it effectively.
a) Access
b) Record
c) Analyze
d) Store","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Data and Knowledge Management ### Response:  Companies need to __ data in order to use it effectively.
a) Access
b) Record
c) Analyze
d) Store"
Create a multiple choice question that queries following topic,Data and Knowledge Management,"______ involves the use of software to store and organize data for many users.
a) Cloud computing
b) System programming
c) The database approach
d) Structured query language (SQL)","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Data and Knowledge Management ### Response: ______ involves the use of software to store and organize data for many users.
a) Cloud computing
b) System programming
c) The database approach
d) Structured query language (SQL)"
Create a multiple choice question that queries following topic,Data and Knowledge Management,"_____ refer to the extremely large datasets which cannot be processed using traditional computing techniques.
a) Dark data
b) Traditional data
c) Large data
d) Big data","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Data and Knowledge Management ### Response: _____ refer to the extremely large datasets which cannot be processed using traditional computing techniques.
a) Dark data
b) Traditional data
c) Large data
d) Big data"
Create a multiple choice question that queries following topic,Data and Knowledge Management," A_____ is a sub-set of a data warehouse intended for a specific group of users.
a) data mart
b) source
c) network
d) database","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Data and Knowledge Management ### Response:  A_____ is a sub-set of a data warehouse intended for a specific group of users.
a) data mart
b) source
c) network
d) database"
Create a multiple choice question that queries following topic,Data and Knowledge Management,"In knowledge management, the______ of information is just as important as its acquisition.
a) presentation
b) storage
c) reuse
d) acquisition","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Data and Knowledge Management ### Response: In knowledge management, the______ of information is just as important as its acquisition.
a) presentation
b) storage
c) reuse
d) acquisition"
Create a multiple choice question that queries following topic,Data and Knowledge Management,"Databases are structured to provide______.
a) currency
b) security
c) integration
d) scalability","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Data and Knowledge Management ### Response: Databases are structured to provide______.
a) currency
b) security
c) integration
d) scalability"
Create a multiple choice question that queries following topic,Telecommunications and Networking," A computer network is a ______ of computer systems and other computing hardware devices that are linked together through ______ connections.
a) group, wireless
b) system, wired
c) network, wired
d) system, communication","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Telecommunications and Networking ### Response:  A computer network is a ______ of computer systems and other computing hardware devices that are linked together through ______ connections.
a) group, wireless
b) system, wired
c) network, wired
d) system, communication"
Create a multiple choice question that queries following topic,Telecommunications and Networking,"A _______ is a set of standards that a networking product adheres to in order for it to communicate on a network.
a) Media Access Control (MAC)
b) Local Area Network (LAN)
c) Open System Interconnection (OSI)
d) Institute of Electrical & Electronics Engineers (IEEE)","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Telecommunications and Networking ### Response: A _______ is a set of standards that a networking product adheres to in order for it to communicate on a network.
a) Media Access Control (MAC)
b) Local Area Network (LAN)
c) Open System Interconnection (OSI)
d) Institute of Electrical & Electronics Engineers (IEEE)"
Create a multiple choice question that queries following topic,Telecommunications and Networking,"The Internet and the World Wide Web are different but _____.
a) connected
b) unrelated
c) exclusive
d) disconnected","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Telecommunications and Networking ### Response: The Internet and the World Wide Web are different but _____.
a) connected
b) unrelated
c) exclusive
d) disconnected"
Create a multiple choice question that queries following topic,Telecommunications and Networking,"A network application that discovers nearby nodes and queries the network for resources it needs is known as a _____.
a) Client
b) Crawler
c) Server
d) Peer-to-Peer","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Telecommunications and Networking ### Response: A network application that discovers nearby nodes and queries the network for resources it needs is known as a _____.
a) Client
b) Crawler
c) Server
d) Peer-to-Peer"
Create a multiple choice question that queries following topic,Telecommunications and Networking,"______ allows for asynchronous communication between users, meaning that messages can be sent back and forth without participants having to be online at the same time.
a) IRC
b) FTP
c) Telnet
d) HTTP","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Telecommunications and Networking ### Response: ______ allows for asynchronous communication between users, meaning that messages can be sent back and forth without participants having to be online at the same time.
a) IRC
b) FTP
c) Telnet
d) HTTP"
Create a multiple choice question that queries following topic,Telecommunications and Networking,"______is a common type of collaboration tool used in enterprise level networks.
a) Database management system
b) Groupware
c) Video conferencing 
d) Voice recognition software","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Telecommunications and Networking ### Response: ______is a common type of collaboration tool used in enterprise level networks.
a) Database management system
b) Groupware
c) Video conferencing 
d) Voice recognition software"
Create a multiple choice question that queries following topic,Telecommunications and Networking,"_____ is a type of network application designed to facilitate learning in the classroom.
a) LMS
b) CMS
c) NLMS
d) DMS","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Telecommunications and Networking ### Response: _____ is a type of network application designed to facilitate learning in the classroom.
a) LMS
b) CMS
c) NLMS
d) DMS"
Create a multiple choice question that queries following topic,E-Business and E-Commerce," The term e-business is typically used in reference to______.
a) companies that are strictly online
b) how businesses conduct their transactions on the internet
c) utilizing technology to improve products and services
d) utilizing the internet for communication and collaboration","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: E-Business and E-Commerce ### Response:  The term e-business is typically used in reference to______.
a) companies that are strictly online
b) how businesses conduct their transactions on the internet
c) utilizing technology to improve products and services
d) utilizing the internet for communication and collaboration"
Create a multiple choice question that queries following topic,E-Business and E-Commerce,"_____ allows companies to sell their product directly to consumer via the Internet.
a) ASP
b) Saas
c) ERP
d) B2C E-commerce","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: E-Business and E-Commerce ### Response: _____ allows companies to sell their product directly to consumer via the Internet.
a) ASP
b) Saas
c) ERP
d) B2C E-commerce"
Create a multiple choice question that queries following topic,E-Business and E-Commerce,"_____ is a type of B2B E-commerce that takes place over open networks such as the Internet.
a) EDI
b) E-banking
c) Telemarketing
d) E-procurement","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: E-Business and E-Commerce ### Response: _____ is a type of B2B E-commerce that takes place over open networks such as the Internet.
a) EDI
b) E-banking
c) Telemarketing
d) E-procurement"
Create a multiple choice question that queries following topic,E-Business and E-Commerce,"One of the ways of addressing ethical and legal issues in e-Business is through the adoption of_______.
a) technical standards
b) company policies
c) federal regulations
d) industry guidelines","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: E-Business and E-Commerce ### Response: One of the ways of addressing ethical and legal issues in e-Business is through the adoption of_______.
a) technical standards
b) company policies
c) federal regulations
d) industry guidelines"
Create a multiple choice question that queries following topic,"Wireless, Mobile Computing, and Mobile Commerce","Wireless technologies are _______ infrastructures, meaning they make use of an existing physical communication link such as a radio spectrum.
a) Packet switched
b) Circuit Switched
c) Mesh Networked
d) Point-to-point connected","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Wireless, Mobile Computing, and Mobile Commerce ### Response: Wireless technologies are _______ infrastructures, meaning they make use of an existing physical communication link such as a radio spectrum.
a) Packet switched
b) Circuit Switched
c) Mesh Networked
d) Point-to-point connected"
Create a multiple choice question that queries following topic,"Wireless, Mobile Computing, and Mobile Commerce","Wireless computer networks provide for the ability to connect to the Internet via_____.
a) satellites
b) Ethernet cables
c) telephone lines
d) radio waves","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Wireless, Mobile Computing, and Mobile Commerce ### Response: Wireless computer networks provide for the ability to connect to the Internet via_____.
a) satellites
b) Ethernet cables
c) telephone lines
d) radio waves"
Create a multiple choice question that queries following topic,"Wireless, Mobile Computing, and Mobile Commerce","One of the major issues in mobile technology is______. 
a) Security
b) Network connectivity
c) User convenience
d) Cost reduction","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Wireless, Mobile Computing, and Mobile Commerce ### Response: One of the major issues in mobile technology is______. 
a) Security
b) Network connectivity
c) User convenience
d) Cost reduction"
Create a multiple choice question that queries following topic,"Wireless, Mobile Computing, and Mobile Commerce","______refers to a network of physical objects that are embedded with sensors, software, and other technologies for the purpose of connecting and exchanging data with other devices and systems over the network.
a) Cloud Computing
b) Machine Learning
c) The Internet of Everything
d) The Internet of Things","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Wireless, Mobile Computing, and Mobile Commerce ### Response: ______refers to a network of physical objects that are embedded with sensors, software, and other technologies for the purpose of connecting and exchanging data with other devices and systems over the network.
a) Cloud Computing
b) Machine Learning
c) The Internet of Everything
d) The Internet of Things"
Create a multiple choice question that queries following topic,"Wireless, Mobile Computing, and Mobile Commerce"," Wireless networks are particularly vulnerable to unprotected access because____.
a) the signal can travel across distance
b) wireless passwords are often known
c) wireless security protocols can be difficult to implement
d) radio waves can penetrate physical boundaries","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Wireless, Mobile Computing, and Mobile Commerce ### Response:  Wireless networks are particularly vulnerable to unprotected access because____.
a) the signal can travel across distance
b) wireless passwords are often known
c) wireless security protocols can be difficult to implement
d) radio waves can penetrate physical boundaries"
Create a multiple choice question that queries following topic,Social Computing,"Web 2.0 is a term that refers to_____.
a) an online community
b) a network protocol
c) an interactive website
d) a set of technologies","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Social Computing ### Response: Web 2.0 is a term that refers to_____.
a) an online community
b) a network protocol
c) an interactive website
d) a set of technologies"
Create a multiple choice question that queries following topic,Social Computing,"Social computing ____in business circles include microblogging, blogging, wikis, and online forums.
a) resources
b) trends
c) platforms
d) strategies","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Social Computing ### Response: Social computing ____in business circles include microblogging, blogging, wikis, and online forums.
a) resources
b) trends
c) platforms
d) strategies"
Create a multiple choice question that queries following topic,Social Computing,"______is the application of social technology in business organizations, specifically in relation to shopping.
a) B2B
b) Social commerce
c) Technology services
d) Network security","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Social Computing ### Response: ______is the application of social technology in business organizations, specifically in relation to shopping.
a) B2B
b) Social commerce
c) Technology services
d) Network security"
Create a multiple choice question that queries following topic,Social Computing,"Social media marketing is a form of marketing where the promotional focus is placed on_____.
a) Advertising
b) Content creation
c) Online reputation
d) Interactive engagement","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Social Computing ### Response: Social media marketing is a form of marketing where the promotional focus is placed on_____.
a) Advertising
b) Content creation
c) Online reputation
d) Interactive engagement"
Create a multiple choice question that queries following topic,Social Computing,"______ is a technology for managing a company's interactions with current and potential customers.
a) SaaS
b) Business Intelligence
c) Customer Relationship Management
d) Cloud Computing","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Social Computing ### Response: ______ is a technology for managing a company's interactions with current and potential customers.
a) SaaS
b) Business Intelligence
c) Customer Relationship Management
d) Cloud Computing"
Create a multiple choice question that queries following topic,Social Computing," Social computing in Human Resource Management helps_____.
a) Empower Employees
b) Increase Successful Hiring
c) Enhance Knowledge Sharing
d) Improve Team Morale","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Social Computing ### Response:  Social computing in Human Resource Management helps_____.
a) Empower Employees
b) Increase Successful Hiring
c) Enhance Knowledge Sharing
d) Improve Team Morale"
Create a multiple choice question that queries following topic,Information Systems within the Organization,"Transaction processing systems are used for processing______.
a) user feedback
b) customer reviews
c) business transactions
d) organizational operations","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Information Systems within the Organization ### Response: Transaction processing systems are used for processing______.
a) user feedback
b) customer reviews
c) business transactions
d) organizational operations"
Create a multiple choice question that queries following topic,Information Systems within the Organization,"______ are information systems that help support a specific area of an organization, such as marketing or finance.
a) ERP systems
b) Transaction processing systems
c) Functional area information systems
d) Online analytical processing systems","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Information Systems within the Organization ### Response: ______ are information systems that help support a specific area of an organization, such as marketing or finance.
a) ERP systems
b) Transaction processing systems
c) Functional area information systems
d) Online analytical processing systems"
Create a multiple choice question that queries following topic,Information Systems within the Organization,"______ is a key driver of ERP system implementation in many organizations.
a) Cost-saving measures
b) More efficient processes
c) Improved customer service
d) Increased employee productivity","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Information Systems within the Organization ### Response: ______ is a key driver of ERP system implementation in many organizations.
a) Cost-saving measures
b) More efficient processes
c) Improved customer service
d) Increased employee productivity"
Create a multiple choice question that queries following topic,Information Systems within the Organization," _____ is a software package used to support business processes across multiple departments within an organization.
a) CRM
b) EMR
c) ERP
d) API","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Information Systems within the Organization ### Response:  _____ is a software package used to support business processes across multiple departments within an organization.
a) CRM
b) EMR
c) ERP
d) API"
Create a multiple choice question that queries following topic,Customer Relationship Management and Supply Chain Management," Customer relationship management, or CRM, is a term used to______.
a) Track customer complaints
b) Automate marketing processes
c) Analyze customer data
d) Monitor customer purchases","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Customer Relationship Management and Supply Chain Management ### Response:  Customer relationship management, or CRM, is a term used to______.
a) Track customer complaints
b) Automate marketing processes
c) Analyze customer data
d) Monitor customer purchases"
Create a multiple choice question that queries following topic,Customer Relationship Management and Supply Chain Management,"Operational Customer Relationship Management Systems are specifically designed for _____.
a) learning customer buying patterns
b) generating customer insight
c) providing customer service
d) managing customer data","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Customer Relationship Management and Supply Chain Management ### Response: Operational Customer Relationship Management Systems are specifically designed for _____.
a) learning customer buying patterns
b) generating customer insight
c) providing customer service
d) managing customer data"
Create a multiple choice question that queries following topic,Customer Relationship Management and Supply Chain Management,"An Analytical Customer Relationship Management System_____.
a) stores customer data
b) connects to a company's website
c) analyzes customer data
d) automates customer transaction data","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Customer Relationship Management and Supply Chain Management ### Response: An Analytical Customer Relationship Management System_____.
a) stores customer data
b) connects to a company's website
c) analyzes customer data
d) automates customer transaction data"
Create a multiple choice question that queries following topic,Customer Relationship Management and Supply Chain Management,"The concept of_____ seeks to move the traditional model of customer relationship management to a higher level.
a) 360-degree CRM
b) Automated CRM
c) Cloud CRM
d) Social CRM","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Customer Relationship Management and Supply Chain Management ### Response: The concept of_____ seeks to move the traditional model of customer relationship management to a higher level.
a) 360-degree CRM
b) Automated CRM
c) Cloud CRM
d) Social CRM"
Create a multiple choice question that queries following topic,Customer Relationship Management and Supply Chain Management,"Supply chains are usually managed by_____.
a) manufacturers
b) retailers
c) stakeholders
d) suppliers","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Customer Relationship Management and Supply Chain Management ### Response: Supply chains are usually managed by_____.
a) manufacturers
b) retailers
c) stakeholders
d) suppliers"
Create a multiple choice question that queries following topic,Customer Relationship Management and Supply Chain Management," A successful supply chain strategy requires an integration of the processes related to_____.
a) procurement
b) customer service
c) inventory
d) logistics","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Customer Relationship Management and Supply Chain Management ### Response:  A successful supply chain strategy requires an integration of the processes related to_____.
a) procurement
b) customer service
c) inventory
d) logistics"
Create a multiple choice question that queries following topic,Customer Relationship Management and Supply Chain Management,"______ is a core technology that enables firms to efficiently link their internal systems to those of their suppliers and customers.
a) Collaborative planning
b) Enterprise resource planning
c) Customer relationship management
d) Electronic data interchange","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Customer Relationship Management and Supply Chain Management ### Response: ______ is a core technology that enables firms to efficiently link their internal systems to those of their suppliers and customers.
a) Collaborative planning
b) Enterprise resource planning
c) Customer relationship management
d) Electronic data interchange"
Create a multiple choice question that queries following topic,Business Intelligence,"In general,______ are responsible for making major decisions for a business.
a) engineers
b) IT personnel
c) customers
d) managers","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Business Intelligence ### Response: In general,______ are responsible for making major decisions for a business.
a) engineers
b) IT personnel
c) customers
d) managers"
Create a multiple choice question that queries following topic,Business Intelligence," Business Intelligence is a collection of tools which facilitates the process of turning____into insights and knowledge.
a) Big Data
b) Strategy
c) Business Models
d) Reports","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Business Intelligence ### Response:  Business Intelligence is a collection of tools which facilitates the process of turning____into insights and knowledge.
a) Big Data
b) Strategy
c) Business Models
d) Reports"
Create a multiple choice question that queries following topic,Business Intelligence," Business intelligence applications provide a way to______.
a) store data securely
b) automate processes
c) collect and analyze data
d) share data with other departments","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Business Intelligence ### Response:  Business intelligence applications provide a way to______.
a) store data securely
b) automate processes
c) collect and analyze data
d) share data with other departments"
Create a multiple choice question that queries following topic,Business Intelligence,"Business intelligence applications for presenting results of analysis typically____.
a) use data from multiple sources
b) are complex to create
c) have a high cost of ownership
d) require expensive hardware","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Business Intelligence ### Response: Business intelligence applications for presenting results of analysis typically____.
a) use data from multiple sources
b) are complex to create
c) have a high cost of ownership
d) require expensive hardware"
Create a multiple choice question that queries following topic,Acquiring Information Systems and Applications,"Business decision makers typically look for a return on investment in the form of_____.
a) efficiency
b) cost savings
c) greater customer satisfaction
d) stronger market position","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Acquiring Information Systems and Applications ### Response: Business decision makers typically look for a return on investment in the form of_____.
a) efficiency
b) cost savings
c) greater customer satisfaction
d) stronger market position"
Create a multiple choice question that queries following topic,Acquiring Information Systems and Applications," A popular strategy for acquiring IT applications is to______.
a) outsource the development to a vendor
b) create the applications using in-house teams
c) use other organizations' applications
d) purchase pre-existing software applications","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Acquiring Information Systems and Applications ### Response:  A popular strategy for acquiring IT applications is to______.
a) outsource the development to a vendor
b) create the applications using in-house teams
c) use other organizations' applications
d) purchase pre-existing software applications"
Create a multiple choice question that queries following topic,Acquiring Information Systems and Applications,"The Traditional Systems Development Life Cycle is composed of______.
a) Identification, design, implementation, testing, operations
b) Design, development, operation, maintenance
c) Initiation, analysis, design, implementation, testing
d) Conception, planning, analysis, development, implementation","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Acquiring Information Systems and Applications ### Response: The Traditional Systems Development Life Cycle is composed of______.
a) Identification, design, implementation, testing, operations
b) Design, development, operation, maintenance
c) Initiation, analysis, design, implementation, testing
d) Conception, planning, analysis, development, implementation"
Create a multiple choice question that queries following topic,Acquiring Information Systems and Applications,"_____ is an efficient method and tool for developing systems that can be understood easily by the users.
a) Natural language processing
b) Domain engineering
c) High-level programming language
d) Rapid application development","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Acquiring Information Systems and Applications ### Response: _____ is an efficient method and tool for developing systems that can be understood easily by the users.
a) Natural language processing
b) Domain engineering
c) High-level programming language
d) Rapid application development"
Create a multiple choice question that queries following topic,Hardware,"A computer's_______ is the hardware used to connect other hardware components together.
a) processor
b) memory
c) motherboard
d) cable","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Hardware ### Response: A computer's_______ is the hardware used to connect other hardware components together.
a) processor
b) memory
c) motherboard
d) cable"
Create a multiple choice question that queries following topic,Hardware,"When deciding on a hardware strategy, organizations must ______.
a) consider hardware costs
b) create an IT architecture
c) implement the most up-to-date software
d) provide support for operations","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Hardware ### Response: When deciding on a hardware strategy, organizations must ______.
a) consider hardware costs
b) create an IT architecture
c) implement the most up-to-date software
d) provide support for operations"
Create a multiple choice question that queries following topic,Hardware,"A computer hierarchy starts with a_____, followed by the operating system, software programs, and users.
a) Chip
b) Monitor
c) Keyboard
d) CPU","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Hardware ### Response: A computer hierarchy starts with a_____, followed by the operating system, software programs, and users.
a) Chip
b) Monitor
c) Keyboard
d) CPU"
Create a multiple choice question that queries following topic,Hardware,"______ are technologies that are used to capture data, store data in its digital form and transform it for meaningful use.
a) Processors
b) Storage
c) Memory
d) Input/Output","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Hardware ### Response: ______ are technologies that are used to capture data, store data in its digital form and transform it for meaningful use.
a) Processors
b) Storage
c) Memory
d) Input/Output"
Create a multiple choice question that queries following topic,Hardware,"The_______ is the brains of the computer, where most calculations take place.
a) Motherboard
b) Monitor
c) Hard drive
d) Central Processing Unit","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Hardware ### Response: The_______ is the brains of the computer, where most calculations take place.
a) Motherboard
b) Monitor
c) Hard drive
d) Central Processing Unit"
Create a multiple choice question that queries following topic,Software,"Software issues are generally caused by____.
a) hardware 
b) end-user mistakes
c) software bugs
d) malicious users","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Software ### Response: Software issues are generally caused by____.
a) hardware 
b) end-user mistakes
c) software bugs
d) malicious users"
Create a multiple choice question that queries following topic,Software,"______is the type of program that links computer hardware to user applications, and is essential for enabling users to interact with the hardware and other programs.
a) Operating system
b) Application software
c) Utility software
d) Network software","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Software ### Response: ______is the type of program that links computer hardware to user applications, and is essential for enabling users to interact with the hardware and other programs.
a) Operating system
b) Application software
c) Utility software
d) Network software"
Create a multiple choice question that queries following topic,Software,"______ provides specific task-oriented solutions to users.
a) System Software
b) Database Software
c) Web Software
d) Application Software","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Software ### Response: ______ provides specific task-oriented solutions to users.
a) System Software
b) Database Software
c) Web Software
d) Application Software"
Create a multiple choice question that queries following topic,Cloud Computing,"______ host the applications and services that make up a cloud computing platform.
a) Servers
b) Desktops
c) Users
d) Storage Centres","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Cloud Computing ### Response: ______ host the applications and services that make up a cloud computing platform.
a) Servers
b) Desktops
c) Users
d) Storage Centres"
Create a multiple choice question that queries following topic,Cloud Computing,"Cloud computing is the delivery of ______ as a service.
a) software
b) infrastructure
c) processes
d) platforms","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Cloud Computing ### Response: Cloud computing is the delivery of ______ as a service.
a) software
b) infrastructure
c) processes
d) platforms"
Create a multiple choice question that queries following topic,Cloud Computing,"A_____ cloud is one in which the customers have less control and visibility over the underlying cloud infrastructure.
a) Private
b) Public
c) Hybrid
d) Community","Below is an instruction that describes a task. Write a response that appropriately completes the request. ### Instruction: Create a multiple choice question that queries following topic ### Input: Cloud Computing ### Response: A_____ cloud is one in which the customers have less control and visibility over the underlying cloud infrastructure.
a) Private
b) Public
c) Hybrid
d) Community"
